team,video,title,artistMain,artistSub,ko_translate,ko_read,en_read,sub1,sub2,sub3
765,https://www.youtube.com/watch?v=63Pa5ZHF3Eo,텟텟테 (BGM TOWN),,,tettette,텟텟테,bgm town,town,타운,뗏뗏떼
765,https://www.youtube.com/watch?v=80154dIlcew,THE IDOLM@STER 2nd mix,,,더 아이돌마스터 2nd mix,The Idolmaster 2nd mix,THE IDOLM@STER 2nd mix,우타마스 2nd mix,더 아이돌마스터 세컨드 믹스,우타마스 세컨드 믹스
765,https://youtu.be/CmAN1QtDeDY,Colorful Days,타카네,,,컬러풀데이즈,Colorful Days,,,
765,https://youtu.be/5nN-CxAKR84,Good Byes,야요이,,작별,굿바이즈,Good Byes,,,
765,https://youtu.be/QVk9Ei5zRMc,i,하루카,765PRO ALLSTARS/765프로 올스타즈,나,아이,i,,,
765,https://youtu.be/DjvmY3A7S1I,J☆U☆M☆P,미키,하루카:미키:야요이,,점프,jump,잠푸,쩜프,
765,https://youtu.be/IgdEBgmw_2I,New Me Continued,히비키,,뉴미컨,뉴미컨티뉴드,New Me Continued,뉴미콘,,
765,https://youtu.be/yK7-t418_IY,オハヨ○サンシャイン(Ohayou Sunshine),야요이,,오하요선샤인,오하요우선샤인,Ohayou Sunshine,오하요산샤인,안녕선샤인,
765,https://youtu.be/HybN89eX-oA,白い犬 (Shiroi Inu),야요이,,하얀개,시로이이누,Shiroi Inu,백견,흰개,
765,https://youtu.be/muwpQWhwGWg,Looking For Love,하루카,하루카:미키,,루킹포러브,Looking For Love,,,
765,https://youtu.be/-jAtaZjcLcE,あ・り・が・と・YESTERDAYS(Arigato YESTERDAYS),마코토,하루카:미키:리츠코:마코토,아리가토우Yesterdays,아리가토Yesterdays,Arigato YESTERDAYS,아리가토예스터데이즈,아리가또예스터데이즈,Arigatou YESTERDAYS
765,https://youtu.be/d8nETC2wPjo,私はアイドル♥ (Watashi wa Idol),이오리:야요이:아미:마미,,나는idol,와타시와아이돌,Watashi wa Idol,나는아이돌,,
765,https://youtu.be/i7qv3HiUZkI,shiny smile,하루카:히비키,,,샤이니스마일,shiny smile,,,
765,https://youtu.be/2GlE0QXzPAc,Kimi wa Melody,야요이:유키호:마코토:이오리:아즈사:리츠코,,키미와melody,키미와멜로디,Kimi wa Melody,너는멜로디,너는melody,키미와메로디
765,https://youtu.be/Y8IpJjGKf18,L・O・B・M,타카네:유키호,,,엘오비엠,lobm,로븜,,
765,https://youtu.be/lgOqIinyd-g,We Have a Dream,765PRO ALLSTARS,765프로 올스타즈,위해브어드림,WeHaveaDream,위햅어드림,,,
765,https://youtu.be/3oK3ONOr7Ow,ポジティブ! (Positive!),야요이:이오리,,,포지티브,Positive!,,,
765,https://www.youtube.com/watch?v=k99NAZK_xx4,♪ (Onpu),코토리,,음표,온푸,Onpu,,,
765,https://youtu.be/cbhCQLq-4cI,1/6の夢旅人 2002 (1/6 no Yume Tabibito 2002),리츠코,,1/6의유랑인2002,1/6 no Yume Tabibito 2002,유랑인2002,1/6 no Yume Tabibito,1/6유랑인2002,1/6의유랑인
