team,video,title,ko_translate,ko_read,en_read,sub1,sub2,sub3
아이돌,https://www.youtube.com/watch?v=g-Bj9L_DdXM,Snow Halation,스노우 할레이션,스노하레이션,Snow Halation,스노하레,스노우하레이션,
아이돌,https://youtu.be/1EliLP0ASxE,우리들은 지금 속에서,우리는 지금 속에서,보쿠라와이마노나카데,Bokurawa Ima No Nakade,보쿠이마,,
아이돌,https://youtu.be/t3AVCmtKdew,분명 청춘이 들려올거야,분명청춘이들려올거야,킷토세이슌가키코에루,Kitto Seishun ga kikoeru,,,
아이돌,https://www.youtube.com/watch?v=RcYtUeu4EqQ,우리들은 하나의 빛,우리는 하나의 빛,보쿠타치와 히토츠노 히카리,Bokutachiwa hitotsu no hikari,보쿠히카,,
아이돌,https://www.youtube.com/watch?v=wveXOvrfgMY&t=95s,미숙DREAMER,미숙Dreamer,미숙 드리머,Mijuku DREAMER,,,
아이돌,https://youtu.be/mO20a-BFIbA,푸른 하늘 Jumping Heart,푸른 하늘 Jumping Heart,아오조라 점핑하트,Aozora Jumping Heart,,,
아이돌,https://youtu.be/_7uLfiTtQeY,NEO SKY NEO MAP,,네오 스카이 네오 맵,NEO SKY NEO MAP,네오네오,,
아이돌,https://youtu.be/35WteJ60cps,START!! True dreams,,스타트 트루 드림즈,Start true dreams,,,
아이돌,https://www.youtube.com/watch?v=ZfjpsHnU9DM,미래는 바람처럼,미라이와카제노요오니,미라이와카제노요니,Mirai wa Kaze no You ni,,,
기타,https://www.youtube.com/watch?v=hpn6NOCCahA,작은 사랑의 노래,작은 사랑의 노래,치이사나 코이노 우타,Chiisana Koi no Uta,,,
