team,video,title,ko_translate,ko_read,en_read,sub1,sub2,sub3
765,https://youtu.be/S0HNbJsuS_A,M@STERPIECE,마스터피스,masterpiece,Masterpiece,Msterpiece,마피,명작
765,https://youtu.be/Ilrsee7epJc,Maybe TOMORROW,,메이비투모로우,Maybe TOMORROW,,,
765,https://youtu.be/NbgPFOgUJU4,芽吹の季 (Mebuki no Toki),,메부키노토키,Mebuki no Toki,,,
765,https://youtu.be/UuE-G1u8X_s,9 02 pm,9 02 pm,902,,,,
765,https://youtu.be/KBzhyLMng3I,99 Nights,99 Nights,99밤,,,,
765,https://youtu.be/KCiDoTsbFu4,そしてぼくらは旅にでる(그리고 우리는 여행을 떠난다),그리고 우리는 여행을 떠난다,소시테보쿠라와타비니데루,soshite bokurawa tabini deru,,,
765,https://youtu.be/HyeSsVM6Res,帰り道(Kaerimichi),돌아가는 길,카에리미치,kaerimichi,귀가길,,
765,https://youtu.be/l70quufmJLc,初恋 ～二章 告白の花火～(Hatsukoi~Nishou Kokuhaku no hanabi),첫사랑 2장 고백의 불꽃,하츠코이니쇼우코쿠하쿠노하나비,Hatsukoi Nishou Kokuhakno hanabi,,,
765,https://youtu.be/O-MOizCZqBo,虹色ミラクル(Nijiiro Miracle),니지이로미라클,니지이로미라쿠루,Nijiiro Miracle,칠색기적,7색기적,
765,https://youtu.be/l-_MsuN41ow,あ~よかった (A~Yokatta),아요캇타,,A Yokatta,,,
765,https://youtu.be/DfKrmoOfjqc,アクセルレーション(Acceleration),액셀러레이션,악셀러레이션,Acceleration,엑셀러레이션,가속,
765,https://youtu.be/0fO801PgpxE,Agape,아가페,,Agape,,,
765,https://youtu.be/voz_35JOIIw,エージェント夜を往く(Agent Yoru wo Yuku),공익 밤을 가다,에이젼트 밤을 가다,Agent Yoru wo Yuku,에이젼트요루오아루쿠,,
765,https://youtu.be/JxNxhOhHLe8,愛 LIKE ハンバーガー(Ai LIKE Hamburguer),아이 라이크 햄버거,아이 라이크 함바가,Ai LIKE Hamburguer,햄버거,함바가,
765,https://youtu.be/EnxY10TbLcY,アイ MUST GO! (Ai MUST GO!),아이 머스트 고,AI 머스트 고,Ai MUST GO!,,,
765,https://youtu.be/JoIJZukh7IA,愛について (Ai Nitsuite),사랑에 대해서,아이니츠이테,Ai Nitsuite,,,
765,https://youtu.be/t4oQqK7mukU,愛のうた (Ai no Uta),사랑의노래,아이노우타,Ai no Uta,,,
765,https://youtu.be/1ldk3G0g6kg,会いたい気持(Aitai Kimochi),만나고싶은 기분,아이타이기모치,Aitai Kimochi,아이타이키모치,아이타이기모찌,아이타이키모찌
765,https://youtu.be/qb0Jimhh2VE,灯 (Akashi),증표,아카시,Akashi,,,
765,https://youtu.be/kzTIKrqVMdc,Akatsuki no Kuruma,아카츠키노쿠루마,적월의자동차,Akatsuki no Kuruma,,,
765,https://youtu.be/0VsFhGGTblQ,ALRIGHT,ㄱㅊ,올라이트,ALRIGHT,올라잇,,
765,https://youtu.be/5S73rzlRPVQ,아마테라스,아마테라스,,Amaterasu,,,
765,https://youtu.be/TL3uTDy8m0c,암리타(アムリタ),암리타,아무리타,amrita,amurita,,
765,https://youtu.be/RkU5YSn_7q4,アナタのヒトコト (Anata no Hitokoto),당신의한마디,아나타노히토코토,Anata no Hitokoto,,,
765,https://youtu.be/tFI_9sKBR0w,亜熱帯 ガール(Anettai Girl),아열대걸,아네타이걸,Anettai Girl,,,
765,https://youtu.be/Aa_sRNno76M,あの日のナミダ(Ano Hi no Namida),그날의눈물,아노히노나미다,Ano Hi no Namida,,,
765,https://www.youtube.com/watch?v=8cPAdznoD9M,파랑새,파랑새,아오이 토리,Aoi TOri,,,
765,https://youtu.be/4b3oh9k_GPQ,青空のナミダ(Aozora no Namida),푸른하늘의 눈물,아오조라노나미다,Aozora no Namida,,,
765,https://youtu.be/-jAtaZjcLcE,あ・り・が・と・YESTERDAYS(Arigato YESTERDAYS),아리가토우Yesterdays,아리가토Yesterdays,Arigato YESTERDAYS,아리가토예스터데이즈,아리가토우예스터데이즈,Arigatou YESTERDAYS
765,https://youtu.be/YrXT_WHgJUQ,ありがとう･･･(Arigato...),고마워,아리가토우,Arigatou...,아리가토,아리가또,아리가또우
765,https://youtu.be/UFoZUUieXpY,歩いて帰ろう(Aruite Kaerou),걸으면서돌아가자,아루이테카에로우,Aruite Kaerou,,,
765,https://youtu.be/S-IAd1gkWHc,明日があるさ(Ashita ga Arusa),,아시타가아루사,Ashita ga Arusa,,,
765,https://youtu.be/Q1kFicYjTJc,明日春が来たら(Ashita Haru ga Kitara),내일 봄이 온다면,아시타하루가키타라,Ashita Haru ga Kitara,,,
765,https://youtu.be/-Y7rE8ZF2TM,明日はきっといい日になる(Ashita wa kitto iihini naru),내일은 분명 좋은날이 될거야,아시타와킷토이이히니나루,Ashita wa kitto iihini naru,,,
765,https://youtu.be/SZQwim2-D7Y,あたしを彼女にしたいなら(Atashi wo Kanojo ni Shitai Nara),나를여자친구로만들고싶다면,아타시오카노죠니시타이나라,atashi o kanojo ni shitai nara,atashi wo kanojo ni shitaai nara,,
