team,video,title,ko_translate,ko_read,en_read,sub1,sub2,sub3
하루히,https://www.youtube.com/watch?v=1kggr5pU9JA,하레 하레 유카이,맑음맑음유쾌,하레하레유카이,HareHareYukai,,,
하루히,https://www.youtube.com/watch?v=WWB01IuMvzA,God Knows...,,갓노우즈,GodKnows,,,
하루히,https://www.youtube.com/watch?v=MI_wWlz2Rck,Lost My Music,,로스트마이뮤직,LostMyMusic,,,
하루히,https://www.youtube.com/watch?v=CsA-YtxZoxM,Lost My Music (나카노 유카.ver),Lost My Music 나카노 유카 ver,,LostMyMusicNakanoYukaVer,,,
하루히,https://www.youtube.com/watch?v=m9LRERMcOm0,모험이지 그렇지,모험이지 그렇지,보우켄데쇼데쇼,BoukenDeshoDesho,,,
하루히,https://www.youtube.com/watch?v=8pJeix2zeBE&,눈 무음 창가에서,눈 무음 창가에서,유키무온마도베니테,YukiMuonMadobenite,,,
하루히,https://youtu.be/gI2ZRVTSmtY,지금까지의 이야기,지금까지의 이야기,이마마데노아라스지,ima made no arasuji,,,
하루히,https://www.youtube.com/watch?v=TthwZJfwtL0,단순한 비밀,단순한 비밀,타다노히미츠,tada no himitsu,,,
하루히,https://www.youtube.com/watch?v=5R1rpSSTDMQ,멈춰라!,멈춰라,토마레,Tomare,,,
하루히,https://www.youtube.com/watch?v=3_PWCB-kfJM,모험이지 그렇지 현주.ver,모험이지그렇지현주ver,보우켄데쇼데쇼겐소우ver,BoukenDeshoDeshoGensouVer,,,
하루히,https://www.youtube.com/watch?v=cdOZogTrw-U,그 상태로 JET JUMPER,그 상태로 JET JUMPER,소노마마제트점퍼,Sono mama JET JUMPER,,,
하루히,https://www.youtube.com/watch?v=NqVZNGcegmY&feature=emb_title,SELECT?,,셀렉트,SELECT,,,
하루히,https://www.youtube.com/watch?v=7zhgyAbsMko&feature=emb_title,하레 하레 유카이 하루히.ver,맑음맑음유쾌 하루히ver,하레하레유카이 하루히ver,hare hare yukai haruhi ver,,,
하루히,https://www.youtube.com/watch?v=N31laxAQmOk&feature=emb_title,사랑의 미쿠루 전설 현주.ver,사랑의 미쿠루 전설 현주 ver,코이노미쿠루덴세츠겐소우ver,koi no mikuru densetsu gensou ver,,,
하루히,https://www.youtube.com/watch?v=jkSac6dJ2_8&feature=emb_title,Punkish Regular,,펑키시 레귤러,punkish regular,,,
하루히,https://www.youtube.com/watch?v=YuRuyGUEpok&feature=emb_title,최강 퍼레 퍼레이드,최강퍼레퍼레이드,사이쿄우파레파레이도,Saikyou Pare Parede,,,
하루히,https://www.youtube.com/watch?v=aHg3yJXGkdg,상냥한 망각 (sonority),상냥한망각sonority,야사시이 보우캬쿠 sonority,Yasashii Boukyaku sonority,,,
하루히,https://www.youtube.com/watch?time_continue=1&v=B4-iHImDrmk&feature=emb_title,Super Driver,,슈퍼 드라이버,Super Driver,,,
하루히,https://youtu.be/pK8ESpXJEPg,상냥한 망각 (sincerity),상냥한 망각 sincerity,야사시이 보우캬쿠 sincerity,Yasashii Boukyaku Sincerity,,,
하루히,https://youtu.be/A7VDO0XrIR0,추신 비슷한 것,추신 비슷한 것,아토가키노 요우나 모노,Atogakino youna mono,,,
하루히,https://www.youtube.com/watch?v=6BBTe3VyniE,마지막 미래를 보여줘,최종 미래를 보여줘,사이슈우미라이오미세테,Saishuu Mirai Wo Misete,,,
쿄애니,https://www.youtube.com/watch?v=H5CFkvSZCJk,시간을 새기는 노래,시간을 새기는 노래,토키오키자무우타,tokiwokizamuuta,,,
쿄애니,https://www.youtube.com/watch?v=bwnJDz8n9bQ,새의 시,새의 시,토리노우타,Tori no uta,,,
쿄애니,https://www.youtube.com/watch?v=R06wLP3lwjE,경단대가족,경단대가족,당고다이가조쿠,Dango Dai kazoku,,,
쿄애니,https://www.youtube.com/watch?v=HAuTaWLe8ZM,zzz,zzz,ㅋㅋㅋ,zzz,,,
쿄애니,https://www.youtube.com/watch?v=ILksSFbKekU,드라마틱 마켓 라이드,,드라마틱 마켓 라이드,Dramatic Market Ride,,,
쿄애니,https://www.youtube.com/watch?v=8sZXUQqkSXE,신세계에서,신세계에서,Shinsekai Yori,From the new world,,,
쿄애니,https://www.youtube.com/watch?v=fayCDyH7vR0,길잡이,길잡이,미치시루베,Michishirube,,,
쿄애니,https://www.youtube.com/watch?v=rh-xfHTJp6M,SIncerely,,신시어리,Sincerely,,,
쿄애니,https://www.youtube.com/watch?v=QUlv-6l0fic,이종간 커뮤니케이션,이종간 커뮤니케이션,이슈우칸커뮤니케이션,Ishuukan communication,,,
케이온,https://youtu.be/38EyQ6Of10g,천사를 만났어,천사를 만났어,텐시니후레타요,Tenshi ni furetayo,,,
케이온,https://youtu.be/grXXPSNjOak,No Thank You,,노 땡큐,No Thank You,,,
케이온,https://www.youtube.com/watch?v=Y0I_WdoedpU,후와 후와 타임,푹신푹신시간,후와후와타임,FuwaFuwaTime,,,
케이온,https://www.youtube.com/watch?v=BL55EoFfuNM,날개를 주세요,날개를 주세요,츠바사오구다사이,Tsubasaa wo kudasai,,,
케이온,https://youtu.be/4ns9GRZWLLs,Singing!,,싱잉,Singing,,,
케이온,https://youtu.be/Wz-pNcgYo0c,Don't say lazy,,돈세이레이지,Dont say lazy,,,
케이온,https://www.youtube.com/watch?v=WZKxCkdhDWU,Pure Pure Heart,,퓨어퓨어하트,Pure Pure Heart,,,
케이온,https://www.youtube.com/watch?v=tpDMYQCdiYA&feature=emb_title,Honey Sweat Tea Time,,허니스윗티타임,Honey Sweat Tea Time,,,
케이온,https://youtu.be/7KyMAeNYmYc,U & I,,유앤아이,UI,,,
케이온,https://youtu.be/iDPb_lyqH-k,이치방 잇빠이,,이치방 잇빠이,Ichiban Ippaai,,,
케이온,https://youtu.be/1RIzrdEFVcA,Guitar Ni Kubittake,,기타니쿠빗타케,Guitar ni kubittake,,,
케이온,https://youtu.be/cw2fwpGSb0Y,Heart Goes Boom,,하트고즈붐,Heart Goes Boom,,,
케이온,https://youtu.be/qVpIsrVy8u0,Tokimeki Sugar,두근두근 Sugar,토키메키 Sugar,Tokimeki Sugar,,,
케이온,https://youtu.be/Z6E_NM9baqI,Samidare 20 Love,,사미다레 20 Love,Samidare 20 Love,,,
케이온,https://www.youtube.com/watch?v=yMwLl2bBvMU,Listen!!,,리슨,Listen,,,
케이온,https://www.youtube.com/watch?time_continue=6&v=G9n65zuZdPk&feature=emb_title,Ohayou Mata Ashita,좋은아침 내일봐,오하요우마타아시아,Ohayou Mata Ashita,,,
케이온,https://www.youtube.com/watch?v=ZGuXHxZNozg&feature=emb_title,Girls in Wonderland,,걸즈 인 원더랜드,Girls in wonderland,,,
케이온,https://youtu.be/GWXuxVumX2I,Our Magic,우리마법,아워매직,Our Magic,,,
케이온,https://youtu.be/ac-u2Mr0UFM,Death Devil Maddy Candy,,데스데빌매디캔디,Death Devil Maddy Candy,,,
케이온,https://youtu.be/D_DqV9G1CvU,Cagayake! Girls,,카가야케 걸즈,Cagayake girls,,,
케이온,https://youtu.be/B4mE6e2CUOU,밥은 반찬,밥은 반찬,고항와오카즈,Gohan wa Okazu,,,
케이온,https://youtu.be/vgpyMGb2vYY,Unmei wa Endless!,운명은엔드리스,운메이와엔드리스,Unmei wa endless,,,
케이온,https://youtu.be/EV-bDK_aipw,Go! Go! Maniac,,고고매니악,GoGoManiac,,,
케이온,https://youtu.be/ZpH7-axD_NI,내 사랑은 호치키스,내 사랑은 호치키스,와타시노코이와호치키스,Watashi no koi wa hoccikisu,,,
케이온,https://youtu.be/glB-smWwBIo,Fude Pen Ball Pen,,후데펜볼펜,Fude pen ball pen,,,
러키스타,https://www.youtube.com/watch?v=wLtVF8VUlw8,가져가! 세라복,가져가세일러복,못테케세라후쿠,mottekeserafuku,,,
러키스타,https://www.youtube.com/watch?v=zY_2Rg6YBqg,돈다케 팡파레,,돈다케 팡파레,dondake fanfare,,,
러키스타,https://www.youtube.com/watch?v=OpJM3cHVmZs,돌려줘 니삭스,돌려줘 니삭스,카에시테 니삭스,Kaeshite Nisokkusu,,,
러키스타,https://www.youtube.com/watch?v=9pAHsMkFlvs&t=157s,잠자기로 리셋!,잠자기로 리셋,네니게데리셋,Nenigederisetto,,,
러키스타,https://www.youtube.com/watch?v=9mWSQt6VPnk,코슷테 오 마이 허니,코스라니 오 나의 허니,코슷테오마이하니,kosutteomaihani,,,
